"","common_name","sci_name","year","route_num","mbbs_county","count","Percent_change_from_previous_year"
"15192","Blue-gray Gnatcatcher","Polioptila caerulea",1999,7,"orange",4,NA
"15193","Blue-gray Gnatcatcher","Polioptila caerulea",1999,8,"orange",5,NA
"15194","Blue-gray Gnatcatcher","Polioptila caerulea",1999,9,"orange",5,NA
"15195","Blue-gray Gnatcatcher","Polioptila caerulea",1999,10,"orange",9,NA
"15196","Blue-gray Gnatcatcher","Polioptila caerulea",1999,12,"orange",5,NA
"15197","Blue-gray Gnatcatcher","Polioptila caerulea",2000,2,"orange",1,-80
"15198","Blue-gray Gnatcatcher","Polioptila caerulea",2000,3,"orange",5,400
"15199","Blue-gray Gnatcatcher","Polioptila caerulea",2000,4,"orange",5,0
"15200","Blue-gray Gnatcatcher","Polioptila caerulea",2000,5,"orange",5,0
"15201","Blue-gray Gnatcatcher","Polioptila caerulea",2000,6,"orange",7,40
"15202","Blue-gray Gnatcatcher","Polioptila caerulea",2000,7,"orange",1,-85.7142857142857
"15203","Blue-gray Gnatcatcher","Polioptila caerulea",2000,8,"orange",1,0
"15204","Blue-gray Gnatcatcher","Polioptila caerulea",2000,9,"orange",2,100
"15205","Blue-gray Gnatcatcher","Polioptila caerulea",2000,10,"orange",8,300
"15206","Blue-gray Gnatcatcher","Polioptila caerulea",2000,12,"orange",2,-75
"15207","Blue-gray Gnatcatcher","Polioptila caerulea",2001,1,"orange",3,50
"15208","Blue-gray Gnatcatcher","Polioptila caerulea",2001,3,"orange",4,33.3333333333333
"15209","Blue-gray Gnatcatcher","Polioptila caerulea",2001,4,"orange",4,0
"15210","Blue-gray Gnatcatcher","Polioptila caerulea",2001,5,"orange",8,100
"15211","Blue-gray Gnatcatcher","Polioptila caerulea",2001,6,"orange",10,25
"15212","Blue-gray Gnatcatcher","Polioptila caerulea",2001,7,"orange",4,-60
"15213","Blue-gray Gnatcatcher","Polioptila caerulea",2001,8,"orange",1,-75
"15214","Blue-gray Gnatcatcher","Polioptila caerulea",2001,9,"orange",5,400
"15215","Blue-gray Gnatcatcher","Polioptila caerulea",2001,10,"orange",7,40
